Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-fhir.np.base.json	5352	-	0	0	0	0	0	0	18	93	0	0	0	0	0	0	0	0	0	0	123	161	0	0	0	6	0	3
fsh-generated/resources/CodeSystem-nepal-caste-ethnicity-cs.json	1365	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	32	189	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nepal-districts-cs.json	1164	13	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	32	145	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nepal-palika-type-cs.json	837	3	0	0	0	0	0	0	11	0	0	0	0	0	7	0	0	0	0	0	48	150	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-nepal-provinces-cs.json	908	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	31	122	0	0	0	0	0	0
fsh-generated/resources/Patient-ExampleNepalPatient1.json	1595	0	0	0	1	0	0	0	1	933	0	0	0	0	0	0	0	0	0	0	16	40	0	0	0	0	0	0
fsh-generated/resources/Patient-ExampleNepalPatient2.json	1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	50	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-nepal-caste-ethnicity.json	1605	0	0	17	0	0	0	1	2	50	0	0	1	0	1	0	0	4	0	0	82	1174	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-nepal-palika-type.json	1650	0	0	26	0	0	0	0	0	37	0	0	0	0	1	0	0	0	0	0	77	466	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-nepal-patient.json	8051	15	0	107	0	0	0	0	0	122	0	0	0	0	0	0	0	7	0	0	1077	1538	0	0	0	26	0	0
fsh-generated/resources/ValueSet-nepal-caste-ethnicity-vs.json	528	0	0	0	0	0	0	0	0	85	0	0	0	0	2	0	0	0	0	0	32	144	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nepal-districts-vs.json	478	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	123	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nepal-palika-type-vs.json	499	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	121	0	0	0	0	0	0
fsh-generated/resources/ValueSet-nepal-provinces-vs.json	455	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	32	110	0	4	0	0	0	0
\fsh-generated\includes\fsh-link-references.md	762	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	1066	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\index.md	13136	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	8307	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
